iter	Passed	Remaining
1319	1541828	794275
1320	1542782	792997
1321	1543731	791717
1322	1544736	790466
1323	1545698	789193
1324	1546740	787962
1325	1547752	786715
1326	1548762	785468
1327	1549851	784262
1328	1550819	782994
1329	1552223	781946
1330	1553625	780898
1331	1554744	779706
1332	1555743	778455
1333	1556861	777263
1334	1557847	776006
1335	1558836	774751
1336	1559654	773411
1337	1560610	772140
1338	1561442	770809
1339	1562453	769566
1340	1564083	768628
1341	1565285	767479
1342	1566554	766363
1343	1568198	765430
1344	1569333	764247
1345	1570482	763072
1346	1571638	761900
1347	1572708	760686
1348	1573623	759398
1349	1574550	758116
1350	1575476	756835
1351	1576453	755578
1352	1577372	754293
1353	1578268	752999
1354	1579105	751677
1355	1580533	750637
1356	1581850	749543
1357	1583005	748372
1358	1584041	747145
1359	1584994	745879
1360	1585970	744625
1361	1586786	743296
1362	1587763	742043
1363	1588632	740740
1364	1589494	739435
1365	1590414	738157
1366	1591285	736857
1367	1592197	735576
1368	1593217	734346
1369	1594421	733201
1370	1595635	732060
1371	1596520	730768
1372	1597452	729499
1373	1598387	728231
1374	1599270	726941
1375	1600087	725621
1376	1600991	724340
1377	1601916	723071
1378	1602903	721829
1379	1603710	720507
1380	1604611	719228
1381	1605502	717945
1382	1606144	716551
1383	1607052	715277
1384	1607992	714018
1385	1608880	712736
1386	1609940	711531
1387	1610804	710239
1388	1611721	708971
1389	1612554	707667
1390	1613622	706467
1391	1614669	705258
1392	1615678	704032
1393	1616688	702807
1394	1617629	701552
1395	1618695	700352
1396	1619698	699125
1397	1620831	697954
1398	1621841	696731
1399	1622831	695499
1400	1623804	694260
1401	1625027	693128
1402	1626249	691996
1403	1627370	690821
1404	1628286	689559
1405	1629278	688329
1406	1630217	687077
1407	1631084	685796
1408	1632083	684571
1409	1632940	683286
1410	1633932	682059
1411	1634869	680809
1412	1635759	679540
1413	1636617	678258
1414	1637500	676987
1415	1638501	675766
1416	1639494	674541
1417	1640583	673356
1418	1641726	672194
1419	1642659	670945
1420	1643827	669793
1421	1644890	668598
1422	1645833	667354
1423	1646897	666160
1424	1647849	664921
1425	1648794	663680
1426	1649743	662440
1427	1650710	661209
1428	1651500	659906
1429	1652362	658633
1430	1653173	657341
1431	1654111	656100
1432	1655010	654843
1433	1655831	653556
1434	1656730	652301
1435	1657484	650989
1436	1658345	649720
1437	1659239	648464
1438	1660082	647189
1439	1660930	645917
1440	1661723	644624
1441	1662521	643333
1442	1663423	642083
1443	1664343	640841
1444	1665175	639565
1445	1666078	638317
1446	1666810	637004
1447	1667615	635720
1448	1668523	634476
1449	1669437	633235
1450	1670362	631997
1451	1671235	630741
1452	1672048	629463
1453	1672967	628225
1454	1673781	626949
1455	1674621	625682
1456	1675567	624456
1457	1676485	623220
